,index,0_x,0_y
0,puta,190,190.0
1,foder,64,
2,vaca,17,17.0
3,cu,64,
4,rabo,38,
5,putaria,2,
6,gato,30,
7,tipo,809,
8,mágico,18,
9,cabra,30,30.0
10,oferecida,1,1.0
11,merda,423,
12,puto,471,
13,vale,187,
14,mano,515,
15,índio,3,
16,chui,2,
17,carocho,12,
18,gajo,253,
19,racha,6,6.0
20,bicha,5,
21,picha,7,7.0
22,pá,91,
23,cagar,49,
24,cona,25,25.0
25,estupor,2,
26,pito,8,8.0
27,grupo,44,
28,cavalo,28,
29,foda,131,
30,azeite,5,
31,pinto,26,26.0
32,grana,66,
33,pau,35,35.0
34,bago,8,
35,pila,13,13.0
36,vadia,7,7.0
37,bomba,28,
38,ninho,6,6.0
39,caralho,76,76.0
40,pitéu,20,
41,loira,7,
42,gigolô,1,
43,coño,2,
44,bófia,84,
45,piça,13,13.0
46,canzana,8,
47,galheta,2,
48,chavala,20,
49,tuxa,1,
50,panão,1,
51,garina,3,
52,postal,1,
53,porra,12,12.0
54,palhaço,16,
55,aranha,7,
56,chatear,15,
57,granadas,3,
58,tomates,10,
59,monção,3,
60,verborreia,1,
61,holofotes,9,
62,prisa,8,
63,gay,8,
64,verga,3,3.0
65,bosta,3,
66,peida,7,
67,rebola,5,
68,cagão,3,
69,chico,29,
70,chulo,22,
71,caraças,3,
72,cacete,4,
73,piço,5,
74,empata,4,
75,pasta,12,
76,cromo,4,
77,pacote,10,
78,focinho,4,
79,taco,8,
80,pedrado,6,
81,frango,4,
82,tromba,9,
83,piroca,4,4.0
84,pinar,1,
85,cabrão,10,
86,corno,6,
87,esquema,6,
88,pintelho,1,
89,treta,11,
90,pita,8,
91,tesão,30,
92,greta,1,1.0
93,queca,4,
94,mijar,6,
95,bacano,14,
96,mijo,4,
97,pastel,4,
98,porro,3,
99,bacana,4,
100,balda,8,
101,galdéria,2,2.0
102,charro,8,
103,pincel,8,8.0
104,panilas,1,
105,pomada,1,
106,ganza,34,
107,rata,6,6.0
108,broca,27,
109,roto,3,
110,crica,8,8.0
111,perseguida,1,1.0
112,rameira,1,1.0
113,colhões,19,
114,boazona,1,
115,chato,7,
116,mó,8,
117,pipi,1,
118,cornudo,1,
119,pivete,1,
120,pachacha,3,3.0
121,ponteiro,7,7.0
122,putedo,4,
123,tetas,2,
124,fanar,1,
125,judite,2,
126,cuarra,3,3.0
127,caca,6,
128,punheta,3,
129,gardanho,1,
130,banana,1,1.0
131,meco,2,
132,penca,1,
133,brochista,1,
134,furar,1,
135,flipar,1,
136,pulha,3,
137,boémios,1,
138,azeiteiro,1,
139,paneleiro,1,
140,quilhões,2,
141,meretriz,1,1.0
142,quenga,3,3.0
143,arroto,2,
144,rego,1,
145,peido,1,
146,grelo,1,
147,engatar,1,
148,viado,1,
149,barbie,2,
150,balúrdio,1,
151,nanha,1,1.0
152,meita,2,2.0
153,quinar,1,
154,penetra,3,
155,cagueiro,1,
156,chupista,1,
157,proxeneta,1,
158,prateleiras,1,
159,bolina,2,
160,bandalheira,1,
161,beta,1,
162,conaça,1,1.0
163,xana,1,1.0
164,putéfia,1,1.0
