,term,description,level,synonym,scale
0,a altas horas da noite,muito tarde na noite,none, noite alta; noite cerrada; lá para as quinhentas,0
1,abafa-palhinha,&bullet; homossexual masculino passivo, calão carroceiro," arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; gay; bamby; xibungo",3
2,abafar,"esconder, esquecer, mudar de assunto, fazer com que um processo ou uma denûncia não siga",none,none,0
3,abafo,"festas, carinho",none, cafuné; carícia; meiguice; quitute; quindim; tagaté; dengo,0
4,abananado,"admirado, aturdido e sem palavras", coloquial, estupefacto; azuratado; aturdido; embasbacado; basbaque,1
5,abanar o capacete,dançar,none,none,0
6,abanar os ananases,abanando provocadoramente o rabo,none,none,0
7,abancar,sentar-se à mesa (para comer) ,none, alapar; sentar-se,0
8,abandalhar,fazer algo sem o levar a sério,none, avacalhar,0
9,abantesma,é um:,none," cretino; imbecil; idiota; burro; badameco; besta; camelo; calhau; cavalgadura; abécula; alimária;
          asno; estúpido; borrego; estafermo; energúmeno; sendeiro; néscio",0
10,,"guardar para si, fazer desaparecer, ficar com...",none,,0
11,à beça,em grande quantidade, coloquial,,1
12,abécula,é um:,none," cretino; imbecil; idiota; burro; badameco; besta; camelo; calhau; cavalgadura; alimária; asno;
          estúpido; borrego; abantesma; estafermo; energúmeno; sendeiro; néscio",0
13,abichanado,&bullet; homossexual masculino passivo, calão," arrombado; paneleiro; larilas; lelé; bicha; baitola; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo",2
14,abientô,expressão de despedida (frequentemente cínica) ,none,,0
15,à bientôt,expressão de despedida (frequentemente cínica) ,none, abientô; astalavista,0
16,abiscoidato,"ser doido, sem juízo",none, Sócio da fnac; amalucado; destravado; desmiolado; ser marado dos cornos,0
17,abismado,espantado,none,none,0
18,abispar,,none, armar-se em esperto; arriscar,0
19,abjecto,"aquele ou aquilo que exala mau cheiro ou causa náusea (por razões físicas, psicológicas ou
          comportamentais) ,", erudito," fedorento; asqueroso; malcheiroso; fétido; nauseabundo; nojento; putrefacto; podre; piolhoso;
          piolhento; tinhoso; andrajoso",0
20,abono de família,"órgão sexual masculino, pénis, pênis", coloquial,,1
21,à borla,algo que se recebe ou come gratuitamente,none, à pala; à borliú; de graça; saber a pato com penas,0
22,à borliú,algo que se recebe ou come gratuitamente,none, à pala; à borla; de graça; saber a pato com penas,0
23,aborrecer,,none, chatear; incomodar; melgar,0
