,artist_name,title,album,featured_artists,lyrics,date,url,Unnamed: 0
2,Mike El Nite,Só badalhocas,Vaporetto Titano,['Da Chick']," Mike El Nite:
Só badalhocas nesta festa
Como é que deixaram entrar esta?
Ela tem escrito na testa
Todo e cada adjetivo que remeta para cenas de sexo agressivo
Achas-te pausada, vais ter que ser beliscada
Puta tu tens menos estilo que água destilada
Só curtes estar na linha com uma linha esticada
Quando inspiras não me digas que estás constipada
Dá pa atriz, adoro o teu kit cénico
És mais superficial que um penso higiénico
Sei-te de cor como aquela canção
Eu tou mais dentro da coisa do que um tampão e
Separo-te do teu namorado como um hífen
Bitch estás com TPM
Então toma Trifene
Soltas a pressão como uma Pepsi can
Pergunto se queres foder, dizes ""yes, we can""
Eu tou à beira-mar a ver passar navios
Quero-te cair entre as pernas como a ponte Entre-os-Rios
Lá vai um autocarro cheio de espermatozóides
Não compres um tablet se é para ler tablóides
Mas, eu nem me importo muito que sejas oca
Temos algo em comum, fazemos truques com a boca
A diferença entre mim e o teu boy é brutal
É que enquanto ele te bate coro, eu bato com o cabedal
Não gostas, fazes move, eu só oiço mu
Vaca, espeto-te um osso no cu, gemes como o Chewbacca
Gosto de putas retro por isso é que te pus laca
E tu gostas de tugas como se fosses polaca
E agora tu queres comandar
Fuck you, puta, põe a bunda a andar
Senão eu atiro-te do 2º andar
E depois fico a cantar como o Bubacar
 Da Chick:
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Me and Mike went out tonight
To get our groove on, right
We got in the club where we usually go
We takes the drinks and diss some people
But damn this night
I'm already smelling something from the inside
I open the door I can't believe what I, saw
Saw, saw, saw, saw, saw, saw, só badalhocas
 Mike El Nite:
No dance floor, dance whore
Tu tens ar de quem chupa melhor do que um Dementor
O teu decote faz-me querer dar shot num quarto de hotel
Para fodermos até vermos o carrossel
Ou então tex mex no meu quarto up next
I love making love but prefer rough sex
Up that ass, eu tou up to the test
Nem venhas com o desfine do ""hoje não me apetece""
Tu és tão fine, temos wine e hash
E eu aperto-te esse rabo como uma bola anti-stress
Não conheço esta miúda, nem ela me conhece
Mas diz que dorme com quem quer e que faz o que lhe apetece, what a mess
Este club da porcaria
Putaria desde a portaria
Claro que esta festa é pouco duradoura
Visto a maior badalhoca ser a produtora
 Da Chick:
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Don't you show your pearls like that to boys 
Mike El Nite:
Só, só, só, só, só
Só badalhocas",2016-01-01,https://genius.com/Mike-el-nite-so-badalhocas-lyrics,
4,Mike El Nite,T.U.G.A.,O Justiceiro,[],"Hey, vive a vida como uma festa
Sob o vento da floresta
Adoro raves, o que é que aconteceu, eu
Acho que foi a lição que a televisão me deu, meu
A bunny dava-me mini tusa
Viciou-me em honeys de mini saia e mini blusa
Fiquei todo mascarado com esta kizzie lusa e pensei:
Droga é fixe ate pró chibo porque ele chiba e usa ya
Todos os meus dogs tão em modo gato Luna
Quanto mais os teus olhos veem, mais eles consomem
Alguma coisa que os comprometa? Nah, nenhuma
Já foi tudo prá a piscina tipo Ai os Homens
Todos correm, para o Passatempo nacional
Jogos sem maneiras sem fronteira passio-racional
Os melhores atletas a representar Portugal
Corredores do fundo do tacho que cozinha o cristal
Pega nos cavalos, vamos para o bosque mágico
Eu mais uns chavalos, sacos e copos de plástico
Recheados com pedras, paus e maus hábitos
Como é que ninguém trouxe limão? Isto é tão ácido
Saímos da estrada para a terra batida rápido
Vamos ficar bem mais felizes e menos sábios
E se tudo correr bem ninguém vai ter momentos trágicos
Afastei os arbustos chegamos entrei no mato e ouvi

Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos
Alucinações

Desde que haja festa rija e gás na botija e áudio nos speakers
É cedo para ir p'ra casa, o tempo não passa as passas nos picas
Vão marcando o compasso entre abraços e várias dicas
Que nunca em nenhum lado sem tares drogado são repetidas
É um festim sem comida
Aqui só há refeições
Que te gastam barra de vida
E vão mudar-te as feições
Isto é
Energia em bebida, feita em farinha ou então feijões
Sem magia, só física e química em fusões
Confusões
Surgem quando pões
Ar em combustões
Contusões
Pós apreensões
Sopros em balões
Multidões
Contra proteções
Escudos e bastões
Colisões
Transformam em beef manifestações
Emissões
Transmitem visões
Tiram-te ambições
Aviões matam aldeões
A cumprir missões
Gerações de peões fáceis de gerir Se pões
Minions contra minions
Ficam os vilões
Alguém que se levante e diga algo mas com o som tão alto Ninguém vai ouvir
Tá Tudo a curtir
Percussão a repetir não se vão repercutir
Quaisquer medidas que alterem vidas p'ra mais produtivas ou mais propícias a agir
Fica pelo teaser, man, Follow the leader o people quer rir
O people quer rir
O people que ir, exoricizar os demónios e pôr os neurónios mais off e os leucócitos a sacudir
Caga nos próximos por acudir
Eles ficam ótimos, segura o vómito, 'bora fingir
Tá-se bem isto é sempre subir
Tá a bater, eu já sei abster-me e abstrair
Só não sei distinguir

Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos
Alucinações",2016-04-22,https://genius.com/Mike-el-nite-tuga-lyrics,
5,Mike El Nite,Santa Maria,O Justiceiro,[],"Tu és loucura, és o meu prazer
Uma aventura que sem querer quero ter
Sejas falsa ou pura, a sala 'tá escura;
É-me igual, só sei que tu és o mal que se procura ser
Quando passas, deixas tudo a querer
Esquecer-se que 'tá à espera do nascer
Do dia p'ra seguir a via da vida normal do mundo, real magia a desvanecer
Abracadabra
És a ladra de tempo que me pôs a perguntar:
""Quando é que eu deixo esta cabra?""
E eu tento, mas quero mais quando acaba
Man, se queres mais paga o preço alto deste salto
Quanto mais alto, mais estraga por dentro
""Sê imprudente e agarra-me""
E eu agarro e agrada-me, mas de repente penso: ""larga-me!""
Mas tu 'tás sempre à larga, tu mandas
Há sempre alguém que sabe sempre onde tu andas
Eu sei que curtes bandas
Eu vi-te assim no backstage
Despida e oferecida, sua bitch, porque é que tens
Que dar bilhetes de ida à tua vida de merda
Eis o brilho e o sarilho a bordo da rastilho airways
Fazes-me voar depois cair a pique
'Tou tão a sentir a shit, tanto que não sinto o dick
Eu só quero ouvir-te até só ouvir o apito
Que me acorda e adormece tipo beep beep beeeeeeeeeeeep

Eu já não posso mais
Nós não somos iguais
E o tempo foge de mim, oh
Eu já não posso mais
Nós não somos iguais
E o tempo foge de mim, oh

Eu sei
Tu és
Quem me tira o tapete de baixo dos pés
Quem um dia me vai afogar no Tejo
A minha loucura, mas eu já não sei se
Eu sei
Tu és
Ma levas me a saúde, levas-me o cash
Mas ainda assim és o amor que eu sonhava
E que sempre eu quis ter
Faz-me viver, faz-me viver, faz-me dizer
Oh oh oh oooh
Faz-me viver, faz-me viver, faz-me dizer
Oh oh oh oooh

Eu já não posso mais
Nós não somos iguais
E o tempo foge de mim, owww
Eu já não posso mais
Nós não somos iguais
E o tempo foge de mim, owww

O teu sabor na minha boca
O teu cheiro na minha roupa
Quem nos veja de fora vê que bates forte cá dentro e que este relacionamento vai de vento em popa
Mas tu sabes que eu tenho outra
Aliás tu sabes que tento outras
Mas acabo sempre à tua porta cheio de esperança morta a prometer que as deixo todas
Porque acredito nisto tipo bieber
Bebi até ser um hepatite B liver
Quando te vi cold Nat'ally tive fever
Dame más gasolina, tu és Aditiva
Como um parasita precisas de um corpo vita
És um estereótipo e ele tipo histérico tripa
'Tás viva no meu sangue, suor e saliva
Nunca tive tão cativo de algo que cativa
Pensado bem isto e tipo um lame reality show
Cruel e amistoso foi o tom com que Ela ligou
O L avisou-me que o doce do mel é perigoso
Mas ainda assim eu fui à casa que o hell habitou
E que habituou, tantos habitantes
Nada é como antes, tudo e como Dante
7 níveis de um inferno que enterra gigantes
Há amores impossíveis este é só gritante

Eu já não posso mais
Nos não somos iguais
E o tempo foge de mim, owww
Eu já não posso mais
Nos não somos iguais
E o tempo foge de mim, owww

Eu sei
Tu és
Quem me tira o tapete de baixo dos pés
Quem um dia me vai afogar no Tejo
A minha loucura, mas eu já não sei se
Eu sei
Tu és
Má levas me a saúde levas me o cash
Mas ainda assim o amor que eu sonhava
E que sempre eu quis ter
Faz-me viver, faz-me viver, faz-me dizer
Oh oh oh oooh
Faz-me viver, faz-me viver, faz-me dizer
Oh oh oh oooh",2016-04-22,https://genius.com/Mike-el-nite-santa-maria-lyrics,
8,Mike El Nite,Funeral,---,['Nerve'],"É, foi um... foi um bom ano. (Verdade)
Mas isso não chega. (Nope)
A vida não presta

Faço os cálculos. Notas em rolo como um parolo
Desapareço. Hocos Pocus nalguns palcos
Regra geral, depois do concerto estou esgotado
Como a lotação do mesmo ou qualquer um dos meus álbuns
Facto. É, um ignorante de culto (Uau)
O anão fez um beat gigante. Curto, mas
Vou precisar de um som de fundo
De, sei lá, uma gaivota-cadáver a grasnar enquanto cuspo. (Vai)
(Hey) Impecável
Se espumar no chão, aumenta o sub e fico estável
Vampiresco
Corcunda, na capela
Com sangue humano na paleta, a pintar um fresco
Tema? Vida miserável
Cada vez que saio à rua
Salto e abro asas em contraluz com a lua, para anunciar a caçada
Admito, só quero
Escolher a próxima vítima no reflexo da janela do metro, como o Henrique Sotero. (Google)
É a nata da Zona T e o Senhor Mistério
Reúne a pequenada que na sombra crê
Qualquer criança com força para segurar uma espada
Está apta para combater
Filhote, Satanás na terra
Tás na berra porque a editora paga para som bater
Muita fala, mas estou para ver
Contas? Vamos conversar
Concertos? Últimos dois, tombaram três fãs, um deles antes de eu começar
Quê? Eu faço os cálculos

Tudo vestido de preto porque a vida é um funeral
Mais longo que o habitual
Ou mais curto que o habitual
Decrépito
Inédito como ilhas Caimão com regras
É o cara de um cigarro e o teu puto caixão com pernas
Tudo vestido de preto porque a vida é um funeral
Mais longo que o habitual
Ou mais curto que o habitual
Decrépito
Inédito como ilhas Caimão com regras
É o cara de um cigarro e o teu puto caixão com pernas

(És Rapper, DJ, boa pessoa, má pessoa)
Vida dupla?
Deve ser a minha e deve ser minha culpa
Vou daqui a acapulco e catapulto a puta
Pela rua a cantar cenas estranhas como Oompa loompa
Charlie bit me tango down mas as entranhas Upa upa!
666 é o numero da besta
Só que o numero de bestas aqui faz de nós reis
E se isto é um jogo de tronos, pra mim é um jogo de tiro aos monos
Por isso mata a xuxuta depois chuta que eu deixo
Vá, Faz lá o Teu festejo
Vá, Adeus e um queijo depois une-te a outros meios
Só são precisos dois inteiros neste cortejo fúnebre
(É para ti) Podes ficar no armário mas assume-te
Depois some-te como um empreendedor no fim do Web Summit(e)
Isto é:
Essencial como frutinha espremida
Só se junta gin nesta bebida, o resto é liga orangina
Para igualares este néctar precisavas dum hectare de rimas
E continuavas óbvio micróbio com enzimas em cima
(Ya, porque agora andamos aí na boca do povo e tal só que)
Isto é distinto tipo: tem um distintivozito
E diz não compares isto ao teu rapper favorito
Dizem que fumar nites acalma os nervos - Nem por isso
Junta o inútil ao desagradável - Vai ser bonito
Duas mentes independentes independentemente
De dependermos disto como carochitos de um pente
Cá a frente o ambiente tá quente como ar
Vais levitar e ver que tás a falhar como dentes no intendente
Entendeste?",2017-01-13,https://genius.com/Mike-el-nite-funeral-lyrics,
11,Mike El Nite,Caixa Negra,Inter-Missão,['J-K (Rap)'],"Chamavam-me desajeitado por não pintar dentro da margem
Mas eu não queria estar limitado por uma imagem
Sou mais colagem procuro a liberdade num pedaço
Porque a melhor vista do penhasco só aparece a metade do salto
Neste teatro abandonado, costas p'ro palco
Percorro salas vazias jogo aos dardos com ratos
Os dados viciados não me mostram a vitória
Mas eu rasgo contratos quem é que aposta em ser da escória
E fazer história, tu olha, acelero sem mãos na mota
Este é o primeiro dia do resto da minha derrota
Vou a direito como uma serpente alcoolizada
Não tenho respeito e cravo o dedo no gume da espada
Senhores passageiros, daqui fala o capitão
Avião fantasma a navegar sem precisão
O destino é em vão
Mas caímos de pé
Robin Crusoe, naufrago sem fé
Não vou esperar, isso nunca chega
Se afundar não vale chorar a perda
Eu vou voar até a voz me levar
E ver putos a bombar a minha caixa negra
Eu juro

Se não é p'ra casa que agora eu vou
'Tou em crash course no meu modo voo
Tipo mayday, mayday
Morri, matei, guardei tudo dentro da caixa negra

Ok, sai da toca a toque de caixa no que toca a guardar segredos
Saio da moca na parte de baixo a falar mas não me arrependo
Há quem os mantenha escondidos, yeah
E só confio em poucos
Mas eu sou pouco seletivo, I guess
Partilho os meus com todos
Dá-me ouvidos que eu dou-te a histórias
Que eu conto e acrescento um ponto
Não é final porque afinal de contas
No final com quem é que eu conto
Os fãs não te dão a mão, eles enganam
Não são algodão
Quando o corrimão da escada vão
Sobra a escuridão da arrecadação
(E as vozes dizem)
""Não é assim que funciona a vida""
(As vozes dizem)
""Tens que te fazer à pista""
(E as vozes dizem)
""Tens que escolher um caminho""
(E as vozes dizem)
""Assim vais acabar sozinho""
(E as vozes dizem)
""Tu já não vais p'ra novo""
(E as vozes dizem)
""Andas a brincar com o fogo""
E foi o que eu descobri quando iluminei a minha caverna
Eu vim p'ra esta merda p'ra marcar a pedra sem regras
Boy Foz Côa
Deixar obra escrita mesmo que a minha vida seja só pós-boa
Prefiro cantar até que a voz doa
Do que estar na defensiva tipo o Ochoa
Dar asas a casas não voadoras
E a tua cabeça é transportadora
Boy, airline, airline, yeah bom nome onde é que eu assino
A minha cabeça vai explodir deve ser da pressão da cabine
Oxigênio i need
Dá vida mas também oprime
Vida eterna sem elixir
Enquanto eu existir eu vou exprimir-me mano, eu juro

Se não é p'ra casa que agora eu vou
'Tou em crash course no meu modo voo
Tipo mayday, mayday
Morri, matei, guardei tudo dentro da caixa negra
Comandante se eu cair a pique
Ao menos sou eu que mando
Yah, sou eu no cockpit e cá me vou despenhando
Tipo mayday, mayday
Morri, matei, guardei tudo dentro da caixa negra
Yeah, yeah, yeah, yeah

Certeza que já lhe aconteceu
Está um lindo dia lá fora
E tudo parece estar tudo a correr às mil maravilhas
Quando de repente",2018-12-07,https://genius.com/Mike-el-nite-caixa-negra-lyrics,
13,Mike El Nite,A Justa,O Justiceiro,[],"Agora a sério eu
Penso
Logo existo
Logo invento
Logo invisto
Jogo intenso
Morte e fico
Pó cinzento
Só vivo isto
Eu penso
Logo existo
Logo invento
Logo invisto
Jogo intenso
Morte e fico
Pó cinzento
Só vivo isto

A minha mãe sempre disse a
Coisa mais bonita que há no mundo é a justiça
Por isso iça bem alto
A tua bandeira
De maneira a que todos te ouçam como numa missa
Mas lembra te que a preguiça e
A cobiça de ser o primeiro
Podem abalar a premissa do justiceiro
A depressão entra aqui como um Intruso
Guardo-a dentro de mim depois impludo
Esboço o Sorriso mais sisudo
Sujo as mãos a trabalhá-lo depois limpo tudo
Tento pôr o lixo no fundo do armazém
Acho que bem arrumado ate ficava bem
Mas a vida não para não espera não dá 'pa
Não dar a mão à razão certa quem?
Quem sou eu 'pra me queixar?
Um grão de areia uma epopeia o que eu deixar
Eu só sei que nasci para deixar tudo aqui
Quem é que não quer ser o herói e ganhar no fim
Quem é que não quer ser o herói e ganhar no fim
Quem é que não quer ser o herói e ganhar no fim

Eu só sei que nasci 'pra deixar tudo aqui
Filmar recitar e ligar tudo a mim
Um corpo nu nos escombros de um terramoto
O tombo de um pombo num chão remoto
O conto de um louco que é tão devoto
No torso de um monstro Que eu não Piloto
O sopro de um outro que não vi logo...
Eu só sei que nasci 'pra deixar tudo aqui
Filmar recitar e ligar tudo a mim
Um corpo nu nos escombros de um terramoto
O tombo de um pombo num chão remoto
O conto de um louco que é tão devoto
No torso de um monstro Que eu não Piloto
O sopro de um outro que não vi logo...

Ela nunca foi cega
Até que alguém a vendou
Depois alguém a vendeu
Depois alguém a comprou
Depois alguém atendeu
Do outro lado ouvi: ""Estou?
Olá a justiça não está.""
E nunca mais se avistou
A minha mãe sempre disse a
Coisa mais bonita que há no mundo é a justiça
Por isso iça bem alto
A tua bandeira
De maneira a que todos te ouçam como numa missa
Mas lembra te que a preguiça e
A cobiça de ser o primeiro
Podem abalar a premissa do justiceiro
A minha mãe sempre disse a
Coisa mais bonita que há no mundo é a justiça
Por isso iça bem alto
A tua bandeira
De maneira a que todos te ouçam como numa missa
Mas lembra te que a preguiça e
A cobiça de ser o primeiro
Podem abalar a premissa do justiceiro",2016-04-22,https://genius.com/Mike-el-nite-a-justa-lyrics,
16,Mike El Nite,F.E.N.A.,Rusga para Concerto em G Menor,[],"Sempre que eles me ouvem em ego trip
Eles querem-me desmontar mano lego shit
Eu só quero ganhar aquele cash flow kit
P'a poder dar a quem sinto tipo let´s go Pete
Let´s go Pete, man no sleep, damn so sick
Rap nos ouvidos deles é otite
Investe nos líquidos hepatite, é bandido
Todo aquele que tem mais que o que é merecido
Eu não tenho tido
Arranjei emprego, yap, mas nao tenho ido
Eu votei sem medo, não tenho partido, eu tenho partido
Os meus dias a viver abatido
Black hawk down, black hawk down
A vida é sempre igual tipo techno sound
Venham-me buscar se nao é p'o ground
Que eu vou, eu vou
Ser mais do que isto aliás eu sou
Eu 'tou, disposto a correr por gosto
Mas com nojo de quem se aproveitou
E se deitou, com o meu cachet ya bom proveito
Tu és o quê? Dá-te ao respeito
Todo o Mc diz que é o eleito
E todo o agente, diz que é suspeito
Mas eu nao sujo o peito
Eu sou o Mike sujo mics com o cuspo que deito
E ando de bike pela faixa do bus feito
Um maluco a achar que isso é um feito
Tenho um defeito:
Pensar demais, fazer de menos
Mas dar aos pedais, é o mais que temos
Para podermos superar os nosso pais
Que é o que mais queremos
Quanto menos canais temos, mais vemos
E há uma linha que separa os mais dos mais dos mesmos
Animais racionais em jornais lemos
Que animais canibais dão nos sais, zombies!
Para onde tu vais, tu vais lonely
Para onde eu vou, vou com mais homies
A deixar um rasto de palavras cores e
Mensagem para fazer um cultural bombing
Um por todos e, todos por isto
Mosqueteiro do reino do anti-cristo
Cavaleiro do mito não sei se existo
Caixeiro sem dinheiro para fazer isto
Mas, ainda assim o animal da fábula
Mas ainda assim tenho um lugar na távola
Mas ainda assim mais real que a cábula
Fátima, ébola, nebula, Átila",,https://genius.com/Mike-el-nite-fena-lyrics,
19,Mike El Nite,A Cena do Ódio 3.0,O Justiceiro,[],"Ahhh os profetas esses burros!
Sempre a antever calamidades de origem divina!
Mas a verdadeira catástrofe somos nós! e não há nada mais profano que a humanidade!
Eu sou o incómodo, a diferença no teu dia
O olho em terra de cegos!
E tu?
Tu só queres um alvo fácil para descarregares a tensão do teu próprio falhanço, sua cópia do teu reles Pai por teres nascido!
Copia barata?
Antes fosses tu uma cópia barata de mim, que gastavas menos oxigénio, antes perdesses menos tempo a apontar dedos e os usasses para tua satisfação, destruir os outros e não construir nada, essa é a ambição do arquitecto do vazio, do procurador do erro, do feliz pela tristeza, do que não vota porque não acredita, acreditando que a inércia é melhor que a escolha!
É escumalha dessa sem ambição que arrasta o mundo para os confins da dignidade, e que leva consigo quem tem que subir e carregar estes imbecis às costas, numa demanda virtualmente impossível e realmente impossibilitada pelos virtuosos virtuais que vivem em realidade aumentada!
Vê o teu ecrã!
Vê-me no teu ecrã!
Queres ver-te no meu ecrã?
Vê que de tanto ecrã veres e comeres não há nada na tua cabeça 3.0 a não ser estática!
Estática e ruído, ruído que entope ainda mais este mundo sobrecarregado de informação que te informa que és desinformado e que te enforma na ultima moda, e que me enforma na ultima moda!
Mas ao menos fiz!
Ao menos criei!
Ao menos disse alguma coisa que tu e os teus amigos mentecaptos nem conseguem enxergar para além da vossa concepção do que é isto ou aquilo ou acoloutro porque tudo tem que ser alguma coisa não é? é assim que te dizem que tem que ser e tu nem questionas seu cepo!
Eu odeio odiadores e odeio-me por já ter odiado e agora só odeio quem me odeia mas adoro que o teu ódio seja a minha relevância na tua vida, nem que seja por aquele segundo em que finalmente alguém te põe no teu lugar, lembrando-te que a tua liberdade de expressão é inútil se expressares expressamente merda!
É essa a tua preocupação?
Sou eu que movo as tuas mãos entorpecidas para que te manifestes?
Manifesta-te mas é para algo que conte!
Para algo que valha a pena!
Eu não valho a tua manifestação!
Tudo está como há cem anos no país e no mundo ou pior! 2015 acabou e onde está o futuro???
Para que serviram os futuristas se nem Hollywood acertou?
E às tantas apercebes-te que ainda andam por aí tantos Dantas e que Almadas são Negreiros e que todos os dias comemos medo e ódio e muitos de vós nem sabem o que é A Cena do Ódio mesmo que não façam mais nada na vida se não odiar!
Mas na direcção errada!
Eu odeio-vos por andarem distraídos e por isso serem parte da distracção!!!
Chamas a alguém biter?
BITER!
Olha bem para a ironia!!!
Acusar de cópia com apropriação de estrangeirismos, ou a merda que quiseres chamar ao português que falas!
Viva o teu ginásio!
Infla-te e esquece a inflação!
Põe-te em forma para te encheres de atenção!
Que eles engordam a encherem-se de ti!
Viva o que penhoraste para ter mais uma, vá lá só mais uma noite a imitar quem querias ser!
VIVA!
Conseguiste!
Nigga we made it!
Viva o teu cap da Obey, viva a mensagem que carregas, viva o teu bícep e o teu trícep, seu Triceratops, 'tás top mano e nem te apercebes o quão próximo estás da tua própria extinção!
Mas TTIP
Tu só queres um alvo fácil para descarregares a tensão do teu próprio falhanço, sua cópia do teu reles Pai por teres nascido!",2016-04-22,https://genius.com/Mike-el-nite-a-cena-do-odio-30-lyrics,
20,Mike El Nite,Monkey,O Justiceiro,['Kaixo'],"Se 'tás feliz e contente bate palmas...

Faz pirâmides com notas
A vista é boa aqui em cima man
Troca trocos por copos e porcas e grita:
""I'm rich bitch goddamn!""
Money rap (Money!)
Ya este é o meu money rap
99% por cento da riqueza nas mãos de 1%
Achas que isso é um funny fact?
Raiz do mal ao quadrado
Multiplicada por um litro de água e um quilo de arroz
Igual a muito divido por poucos vida louca e outros loucos
Onde a vida os pôs
Ostenta a opção lenta obsoleta
Oh puto é só 'leta eu bem digo
De que é que vale o status de vedeta
E uma maleta com uma etiqueta Gucci para um mendigo?

Somos todos sem abrigo
Cada um faz o que pode e a vida é dura
E tu 'tás iludido se te consideras livre por teres lido um livro
E achas que não tens vivido em plena ditadura
A guita cura a vida de cromos que vivem de iPhones
E pôr mais chromes na viatura
Boy come a fartura (boicote)
Não há fome que não dê em escravatura
E dura e dura e dura

Tempo é Dinheiro baby sonha com o big ben!
Pensas que o peso equilibra tipo Ying yen?
Ate o Dollar trazer guerra praqui
E ai vês que Euro e neo-nazi
Neo nazi? Yup neo-nazi
Os judeus aqui vivem sem fé e com os pés descalços
Neo nazi? Ya neo-nazi
O holocausto começa com saudações e aplausos
(Yeh) It's all about the money
(Yeh) Nah, I'ts all about the monkey
(Yeh) É tudo pelo, é tudo pêlo, é tudo pelo
Its all about the nana nana na na

Uh cuando caiga el cielo sobre mi
Never, pray for me
Tengo la marca el diablo
Esnifándome la Matrix
Convirtiéndola en binario
Estaba cerca pero salgo del cuadro
Sniff Sniff on me, oh shit
Tengo que calmarme o matarme es necesario
Llorando otra vez, que sera de mi
Tengo poco o nada y me lo gasto todo en gin
Que será de mi
El mundo es enter the void
Yo solo una marioneta que perdió el control
Encerrado entre barrotes de oro
Me bebo sus milagros mientras huelo el cloroformo
Líneas de plomo ruso para todo
Que explota el coche del Coelho que arda el trono

Meto a mão no bolso
Conto uns quantos símbolos
Veneno sabe a pouco
Vou comprar Antídoto
Confirmo o meu troco
Não resisto ao ímpeto
Com o olhar Indico que desconfio do índio
Sorrio e Faço as pazes para o vídeo
Tenho que ser bom pro dono
Vida de canídeo
Tenho que fazer pro-bono
Ser pago é atípico
O saldo do meu soldo deixa me em mau estado anímico
No final não sobra nada
Nem sol nem floresta nem mayas
Enquanto há recursos no mapa
Eles jogam Age of Empires

Somos todos sem abrigo
Cada um faz o que pode e a vida é dura
E tu 'tás iludido se te consideras livre por teres lido um livro
E achas que não tens vivido em plena ditadura
A guita cura a vida de cromos que vivem de iPhones
E pôr mais chromes na viatura
Boy come a fartura (boicote)
Não há fome que não dê em escravatura
E dura e dura e dura

Tempo é Dinheiro baby sonha com o big ben!
Pensas que o peso equilibra tipo Ying yen?
Ate o Dollar trazer guerra praqui
E ai vês que Euro e neo-nazi
Neo nazi? Yup neo-nazi
Os judeus aqui vivem sem fé e com os pés descalços
Neo nazi? Ya neo-nazi
O holocausto começa com saudações e aplausos
(Yeh) It's all about the money
(Yeh) Nah, I'ts all about the monkey
(Yeh) É tudo pelo, é tudo pêlo, é tudo pelo
Its all about the nana nana na na

Fumar prejudica trabalhar domestica
Trabalha p'ra fumares a sonhar com gente rica
A guita dá-te um sensação fantástica
Carrega a cruz e vais ver que se suares estica
Fumar prejudica trabalhar domestica
Trabalha p'a fumares a sonhar com gente rica
A guita dá-te um sensação fantástica
Carrega a cruz e vais ver que se suares estica
Faz pirâmides com notas
A vista é boa aqui em cima man
Troca trocos por copos e porcas e grita: ""I'm rich bitch goddamn!""
Money rap
Ya este é o meu money rap
99% por cento da riqueza nas mãos de 1%
Achas que isso é um funny fact?",2016-04-22,https://genius.com/Mike-el-nite-monkey-lyrics,
23,Mike El Nite,Tou Cá Tou Lá,Rusga para Concerto em G Menor,[],"Mickael, isto é para ti
Ahhhhhhhhh.......
Yeah, Fuck Nigel Might

Podia tar sempre a queixar me, mas se queixasse
Era só mais um MC e é isso q eu ultrapasso
Como um BM mudo o bpm e tu damn
Ficaste pa' trás como o van damme ou VAN DAMME
Com um derrame de tanto ouvires drum it begun
E nem foi preciso carros tunning e big guns
Wisdom, represent Lisbon, é p'ra sempre fixa-me
Mano pede bis vá motiva me, ahn
Self made sempre fui, well paid nunca fui
Pressão de ar bang chui, sente o meu feng shuei
Equilíbrio ying yang eu ando a fumo e sangue sou um híbrido
E falo alto se 'tou drunk mas sou tímido
Da me algo que soe a funk mas atípico
E esquece os círculos, eu ando em elipse wow
Mano isto é 2013 Apocalipse Now

Quando o rap se calou mano...eu 'tava la
Quando o club esvaziou mano...eu 'tava la
É o Nite, fuck dat
Da me um mic, dois decks
Get it right, give me cash
E algo mais, respect
Quando eu subo para o palco, desliguem a spotlight
Mike el Nite bitch DJ on the fucking mic

Backlit entras em défice, é preciso matar mcs foi o que o rap disse
É preciso tocar bué discos pra estes mad kidz
Porque o que eles querem é hits e wack shit
Bonequitos, tão tão perdidos a querer ter tribos que ate vês tipos a querer ser vips com nomes em guest list
V.I.P. very ignorant people
R.I.P. Louis Vuitton como o Kidult
Queres viver à grande mas pensas little
Como o Kevin, but i ain't havin'
It lucky six six sick chama um médico
E de caminho traz um priest sou maléfico
Stick este crucifixo numa snatch
E, fico a ler Wikileaks no meu attic
Still sit on the same streets, thats it, thats it
E é isso

Agora que o rap voltou mano, eu 'tou cá
E agora que o club bombou mano, eu 'tou cá
É o Nite, fuck dat
Da me um mic, dois decks
Get it right, give me cash
E algo mais, respect
Quando eu subo para o palco
Liguem a spot light
Mike el Nite bitch dj on the fucking mic

E só mais uma rusga renascentista
Remember Rembrandt",2013-01-01,https://genius.com/Mike-el-nite-tou-ca-tou-la-lyrics,
