,Artista,Calão (média),Calão (mediana),Calão (máx),Misoginia (média),Misoginia (total),Misoginia (máx)
0,9 Miller,17.67,14.0,44,6.83,82,21
1,Agir,1.38,0.0,13,0.0,0,0
2,Alcool Club,6.03,3.0,30,2.1,61,20
3,Allen Halloween,11.95,5.0,88,3.03,112,22
4,Bispo,8.77,6.0,70,0.3,13,3
5,Boss AC,2.17,1.0,23,0.52,24,9
6,Carlão (PacMan),4.73,0.0,50,0.33,5,2
7,Chico da Tina,12.36,9.5,48,2.79,39,15
8,Classe Crua,5.4,3.5,18,2.6,26,12
9,Conjunto Corona,5.08,2.0,29,1.68,42,15
10,Cálculo,4.21,1.0,20,0.43,6,3
11,Da Weasel,3.37,2.0,23,0.46,16,3
12,Dealema,4.65,2.0,23,0.7,26,8
13,Dillaz,6.65,5.0,34,1.76,60,26
14,Estraca,3.62,2.0,17,0.69,9,7
15,Força Suprema,7.06,5.5,24,0.5,8,3
16,Fínix MG,6.33,5.0,14,1.5,18,5
17,GROGNation,7.37,5.0,48,1.93,58,9
18,Holly Hood,5.73,5.0,19,0.45,5,3
19,Jimmy P,2.31,0.0,17,0.4,17,8
20,Kappa Jotta,7.47,3.0,58,3.26,62,54
21,Keso,5.57,4.0,36,0.78,18,14
22,LON3R JOHNY,2.47,0.0,42,0.08,3,3
23,Mike El Nite,5.19,4.0,19,0.95,20,8
24,NGA,8.94,5.5,127,0.68,23,6
25,Papillon,5.69,4.5,25,1.5,24,10
26,Phoenix RDC,9.12,6.0,51,1.87,127,24
27,Piruka,6.8,5.5,18,0.3,9,4
28,Plutonio,3.24,1.0,21,0.86,18,9
29,ProfJam,7.12,4.0,78,2.27,109,66
30,Regula,8.02,6.0,28,1.5,60,10
31,Sam The Kid,5.44,2.0,36,0.72,41,9
32,SippinPurpp,5.4,2.0,22,0.7,7,5
33,Sir Scratch (PRT),1.88,1.0,6,0.31,5,3
34,Slow J,2.84,0.0,19,0.12,3,3
35,Valas,2.17,0.5,9,0.67,8,8
36,Valete,6.02,3.0,29,1.17,62,24
37,Waze,1.92,1.0,6,0.0,0,0
38,Wet Bed Gang,8.12,5.0,25,1.0,26,6
39,X-Tense,9.24,7.0,24,0.71,12,5
40,Xeg,7.64,3.0,113,3.0,126,81
