term|description|level|synonym|scale
abafa-palhinha|&bullet; homossexual masculino passivo| calão carroceiro|" arrombado; paneleiro; larilas; lelé; bicha; baitola; abichanado; lingrinhas; maricas; miasco; rabo;
          rabeta; rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola;
          frozô; roto; gay; bamby; xibungo"|3
abananado|admirado, aturdido e sem palavras| coloquial| estupefacto; azuratado; aturdido; embasbacado; basbaque|1
à beça|em grande quantidade| coloquial||1
abichanado|&bullet; homossexual masculino passivo| calão|" arrombado; paneleiro; larilas; lelé; bicha; baitola; lingrinhas; maricas; miasco; rabo; rabeta;
          rebola; rabolho; panasca; panisga; panilas; panão; panuco; picolho; viado; perobo; boiola; frozô;
          roto; abafa-palhinha; gay; bamby; xibungo"|2
abono de família|órgão sexual masculino, pénis, pênis| coloquial||1
abusar da maçaneta|fazer sexo homossexual (no caso dos homens) ou sexo anal (no caso das mulheres) | calão carroceiro|" dar o cu; cagar para dentro; cavalgar a jibóia; levar na anilha; tirar leito do pau; queimar rosca
        "|3
adesivo|diz-se de um individuo insistente, que se cola às pessoas, de modo incomodativo| coloquial| chato; aborrecido; incomodativo; melga; gosma; fega; cromo; postal; autocolante; besunta|1
|| calão||2
|| calão||2
afanar|furtar, roubar| coloquial|" bifar; pifar; gamar; gardanho; rapinar; surripiar; fanar; roubar; palmar; empalmar; fazer mão leve
          a"|1
|ter relações sexuais| calão|" fazer amor; pinar; quilhar; foder; pilar; copular; dar uma ponteirada; dar-lhe aço; estar no
          refustedo; fornicar; transar; afinfar-lhe; afogar o ganso; pinocar; gibra; mandar o Bernardo às
          compras"|2
afinfar-lhe|ter relações sexuais| calão||2
afogar o ganso|ter relações sexuais| calão||2
amigos do alheio|pessoa que rouba| coloquial|" ladrão; gatuno; ratoneiro; larápio; assaltante; salteador; flibusteiro; fajardo; carteirista;
          cafunge"|1
andar a coçar os colhões|não fazer nada de útil| calão| não fazer a ponta de um corno|2
andar à porra e à maça|&bullet; espancar, lutar| coloquial|" passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho; porrada
          velha"|1
andar às turras|&bullet; lutar| coloquial| andar à turra e à massa|1
andar à turra e à massa|&bullet; lutar| coloquial| andar às turras|1
andar a coçar o cu pelas esquinas|sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem| calão|" andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar no laréu; andar a polir
          esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio; na boa vai ela;
          andar na vadiagem; andar na trolaró; andar a fazer versos à Lua"|2
andar à porrada|&bullet; espancar, lutar| coloquial|" passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porra e à
          maça; andar à lapada; arraial de pancadaria; arraial de porrada; roleta; pancada de criar bicho;
          porrada velha"|1
andar à mama|level:| calão|none|2
andar no engate|&bullet; cavalheiros que tentam seduzir namoradas| coloquial| engatar; garanhar; galar|1
andar no laréu|sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem| coloquial|" andar a fazer cera; andar nas putas e vinho verde; andar à boa-vida; andar a coçar o cu pelas
          esquinas; andar a polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a
          preguiçar; ócio; na boa vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua
        "|1
andar nas putas e vinho verde|sem fazer nada, ser preguiçoso, ter preferência por não trabalhar e andar na vadiagem| calão carroceiro|" andar a fazer cera; andar à boa-vida; andar no laréu; andar a coçar o cu pelas esquinas; andar a
          polir esquinas; andar a mandriar; andar a vadiar; andar a flaino; andar a preguiçar; ócio; na boa
          vai ela; andar na vadiagem; andar na trolaró; andar a fazer versos à Lua"|3
andar no carrossel dos caralhos|é um:| calão carroceiro| coirão|3
anhar|ex.:| calão|none|2
Ao nascer saíste pelo cu porque a tua mãe tinha a cona ocupada|insulto a árbitro do mais violento e arrasador que se consegue| calão muito carroceiro|" Tens mais cornos que um prato de caracóis meu grande filho da puta !; Corta a tua mãe às postas e
          faz arroz de puta; Filho de um saco de putas"|4
puta|ficar bêbado, beber de mais| calão carroceiro|" bebedeira; carraspana; ramada; piela; narsa; encher a cara; entornar o barril; entornar o caneco;
          ir a trocar o passo; lamber o garrafão; buba; tosga; derrubar a adega; estar com um grão na asa;
          estar com dois dedos de gramática; tomar um porre; encharcado"|3
aranha|é um:| calão carroceiro|" cona; pipi; pito; pitaço; pirona; rata; vagina; ninho; parreco; pombinha; racha; febra;
          entrefolhos; mexilhão; ostra; greta; pachacha; patareca; passarinha; perseguida; boceta; conaça;
          crica; fanesga; boca do corpo; xana; snaita"|3
araújo|corpo estranho num olho| coloquial| orgueiro|1
arbusto|pêlos púbicos| calão| pintelho; pentelho|2
ardiúmes na pachacha|calores vaginais| calão carroceiro| febres da pita; lumes de cona|3
argasmo|"sensação de prazer semelhante ao orgasmo experimentada por quem retira uma máscara covideira
          ganhando acesso ao ar"| calão|none|2
armante|diz-se de alguém muito convencido, arrogante e que se gaba mesmo do que não faz| coloquial| gabarolas; granadas; ser um convencido; fanfarrão|1
arraial de porrada|&bullet; espancar, lutar| coloquial|" passar a vias de facto; andar à batatada; andar à traulitada; andar à pancada; andar à porrada;
          andar à porra e à maça; andar à lapada; arraial de pancadaria; roleta; pancada de criar bicho;
          porrada velha"|1
