,artist_name,title,album,lyrics,date,url
0,Mike El Nite,Dr. Bayard,Inter-Missão,"Ice Burz on the track
Agora vais ver o que é bom p'ra tosse
Nunca vais saber o sabor do sauce
Agora vais ver o que é bom p'ra tosse
Nunca vais saber o sabor do
(*cof cof*)

Dr. Bayard, Dr. Bayard ya (*cof cof*)
Dr. Bayard ya, Dr. Bayard ya (*cof cof*)
Dr. Bayard, Dr. Bayard
Não vou tossir
Não vou mayar (*cof cof*)
Dr. Bayard
Dr. Bayard ya,Dr. Bayard ya
Dr. Bayard, Dr. Bayard ya
Dr. Bayard, Dr. Bayard
Não vou tossir
Não vou mayar (*cof cof*)
Dr. Bayard

Nunca foste um A, a tua gripe é L
Nunca te apanhou mas vucku vucku é tosse
Andas a abusar muito do caramelo
Vou pedir ao doutor para te dobrar a dose
Não que haja cura p'ra seres infeliz
Já és um boneco falta-te seres animado
Chegou-te ao nariz o cheiro a anis
Vou deixar o país a ponto rebuçado
O teu diagnóstico é querer ser bué gang
Análise ao teu sangue dizes que eu sou top?
Eu sou o Mike El Nite, bitch we can't hang
You know what I lean, yeah? É ganda xarope
Eu prefiro drops, quando eu tiver milly rock
Essas marcas fuck boy, até lá on lock
What?
Nas despesas chop chop
Bué cabeças chop chop
Vocês ficam chop suey boys a queimar no wok
Bisoltussin, man it's all pussy
Dissolve tudinho, vende isso ao Putin
E diz aos putinhos
Pa' ver os patinhos
Que ainda são novinhos
Para ir ao looping (weeee)
Não estás à altura da montanha russa
Acabas rápido como esta sussa
Não há free candy nem que a vaca tussa
Quando fores para a fossa
Boy tu vais de fuça
(Sintomas são convulsões, excesso de secreções
Expectoração, nhanha peitoral
Respiração com artefactos e artimanhas
Mas a gente apanha-te na campanha eleitoral)
Coligação para governar a Tuga ya
Eles estão a suar tipo o Bruce no Die Hard
Sem fogueira no escuro cantam Kumbaya
Oh lawd, vai buscar o Dr. Bayard
(*cof cof*)

Dr. Bayard, Dr. Bayard, ya  (*cof cof*)
Dr. Bayard ya
Dr. Bayard ya
Agora vais ver o que é bom p'ra a tosse
Nunca vais saber o sabor do sauce
Agora vais ver o que é bom p'ra a tosse
Nunca vais saber...

Fínix!
Reunião da Think no mall, yeah
Eu tou a bulir, tu és mole yeah
Juro essa minha wallet
Vai ficar verde, goblin
MJ, eu quero tar ballin'
""Prrr"", That's money callin'
A subir as escadas, Stallone yeah
Já não tou a solo, Macaulay
Pensam q'o laton não vai a
Nenhum lado por mais que ele faça tracks
Fofoqueiro quer falar mal de mim
Tipo que eu não tenho goals, guarda-redes
Eu vou pa sempre mandar shots no kuribota
Comigo é bar aberto
Ri por enquanto vai rindo fugazi
Até o karma, fazer da tua cara um meme
Tu vais morrer colarinho azul
Estrada com os bloods, minha vida é bool
Cerimónias suma guimas do
Se Iran ajudar o que é que é Jesus, fool
Não há nada muito promissor para ti
Tipo mexican vais ter uns 30 bules
O game vê-me como o underdog
Vou estar mais que fixe, vou estar com a bitch cardume
(*cof cof*)
Vocês não me querem ver no trono Mufasa
Mas nós queremos a coroa
Porque a city já nos faz sentir que somos os caras
(*cof cof*)
Vou droppar panda shit pombos na baixa
Man este bantu vai dar takeover
E vai se sentir como os colonos, em casa

Purpp!
Boy eu não tou sozinho
Sempre a rodar com o meu primo (Dr. Bayard)
Rappers em linha
Boy, eu quero é dinheiro limpo (Dr. Bayard)
Há um ano atrás ninguém me deu ouvidos
Agora tou a rockar com os gringos
E eu sempre disse boy tu não duvides
Eu encho uma mansão com freaks
Tiques fodidos, palmadas no ass
Manos 'tão jealous porque eu 'tou blessed
Bocas falaram mas eu não me esqueço
Do que foi dito no meu começo
Todo o desprezo
Agora para veres paga o preço
Agora para veres paga o preço (Money)
Não tires pinta de otário
Eu pinto a tua querida em qualquer horário
Só estou a tentar ser lendário
Tu és bom ator, bom ator secundário (Raa)
Damos pull-up com a Uzi
Eu quero é encher o armário com Gucci
Tu és o contrário do que eu vi
A vida deu lições e eu aprendi (I'm blessed)
Várias missões eu venci (Venci)
Várias porções eu vendi (Vendi)
Tudo o que eu fiz foi low key
Viking visionário, chama-me Floki (Floki)
Vários planos eu monto
Só falam daquilo que eu compro (Money)
Lean com xannies deixou-me tonto
Eu tou no sul a correr para o topo (Para o topo)
(Quando a lean me sabe pouco
Eu largo um xanny no meu copo aye)
Tudo o que tens para mim é pouco
Eu largo um Bayard no meu copo

Dr. Bayard, Dr. Bayard ya (*cof cof*)
Dr. Bayard ya, Dr. Bayard ya (*cof cof*)
Dr. Bayard, Dr. Bayard
Não vou tossir
Não vou mayar (*cof cof*)
Dr. Bayard
Dr. Bayard ya,Dr. Bayard ya
Dr. Bayard, Dr. Bayard ya
Dr. Bayard, Dr. Bayard
Não vou tossir
Não vou mayar (*cof cof*)
Dr. Bayard",2018-05-07,https://genius.com/Mike-el-nite-dr-bayard-lyrics
1,Mike El Nite,Mambo nº1,Rusga para Concerto em G Menor,"Zona T, finest
Ye ye Nite, Jam
2000 e...

Eu sou o Mike El Nite
You know what I mean
Queres saber de mim vou 'tar em Skyrim
Tentei fazer um beat mainstream
Parti o PC Rage Against the Machine
Ben ten, ben ken, Obi Mikel
Hashtag, Circo Chen, droga e Miguel
Puta dá na Brita até borrar o rimel
Tu queres matar o boss no primeiro nível
Nah, nem com cheats
Queres entrar na festa mas não tens convites
Nem ouvintes
Ouvi a tua faixa 10 segundos ou 15
E digo que quem ouve isso é só putos e
Bitch niggas com big espigas
A pausar com penteados de raparigas
Vens com muita pressa de chegar ao podium
Eu paro com essa merda mais rápido que imodium
Queres bolota? Neps tropa
A tua bitch está sentada no meu laptop
A ouvir rap zona T diz-me que é nota 10
Até ver que o meu cash dropa
Ainda assim still tão dope
Real skill make you wanna kill the pope
Wacks tipo ""afinal havia outra""
Maneira de fodermos estas pitas todas
Ela 'tá húmida passa cartão
Ela 'tá lúcida faz um canhão
Esta gente é tão estúpida
Fazem questão
De dizer que isso é música Carlos Paião
Desliga o Play-back
Bem vindo ao payback
I kill a gay track
I rock it asap
Boy paga-me em cheque, coberto
Se não estás aberto a levar um queque no metro
Violo a tua bitch mas em modo correcto
Porque ela deixa-me sempre entrar, Roberto
Na cama do IKEA com o swag dum sueco
Sente o meu reverb sou o Umberto Eco
Ouves o meu som quando eu canto pó boneco
Eu ando e repto, eu ando erecto
Até ao dia em que eu te espanto como um canto direto
Golo

Ye ye Zona T, finest
Ye ye Nite, Jam
2000 e...
Hey ya, Prof e Mike
AstroRecords, B3K
Checkem

Toquei-me, queimei-me
'Tou famous
Tipo The Game ""Quem é Quem?""
Ficou o game mas
Se eu te apanho toma banho
Porque eu tenho as
Dicas mais feias
Que cheiras e queimas
Os pelos do nariz
Analisa as ideias
Piço chafariz
MC's de knees tipo igreja
Queres bis, bitch beija
Sou feliz nisto
Por isso fiz disto major
Dão me kicks antigos
Deixo linhas estilo lazer
Dicas caem tipo quiqs dum txitxo
E esteja onde estiver
Fitcho uma mix de queijo e jack
No stage tiro um tiro e feedback
Fico a ouvir tipo quebra e digo
Como é que é possível
'Tou sensível, descolei 'tou noutro nível
747 'tá tudo a bordo
E eu trouxe mais combustível
Pa' queimar a weed, ooh wee Nate dogg
They say I'm the top G - oh my god!
Oh my gods! Estou-me a ver a triplicar
Deve ser dos cogs estou sempre a fungar
Sempre a fumegar - panela de pressão
So don't push me puxa a wella do canhão
Puxa a bela do salão
Puxa aquela de abanão
Fecha a da rua e abre a porta da perceção
Eu estou na recepção
Passa a bola - recepção
Já chamaram o meu nome
Eu não sei onde eles estão
Por isso fico aqui na Neverland
Onde o croc' comeu o clock e never again
Descansar conseguiu o captain
Enquanto existisse o Peter Pan
Porque lost boys never walk the plank
We know the plan
So fuck the Man
Sou o prof dos putos da nova gen
Cuidado maluco we share ADN
Ma nigga we crazy like Eminem
O nosso mundo tem muitas cores tipo M&M's
Queremos Ass and M's
Estilo S&M
Hardcore bitch so don't mess with them

Ye ye Zona T, finest
Ye ye Nite, Jam
2000 e...",2013-12-16,https://genius.com/Mike-el-nite-mambo-no1-lyrics
2,Mike El Nite,Só badalhocas,Vaporetto Titano," Mike El Nite:
Só badalhocas nesta festa
Como é que deixaram entrar esta?
Ela tem escrito na testa
Todo e cada adjetivo que remeta para cenas de sexo agressivo
Achas-te pausada, vais ter que ser beliscada
Puta tu tens menos estilo que água destilada
Só curtes estar na linha com uma linha esticada
Quando inspiras não me digas que estás constipada
Dá pa atriz, adoro o teu kit cénico
És mais superficial que um penso higiénico
Sei-te de cor como aquela canção
Eu tou mais dentro da coisa do que um tampão e
Separo-te do teu namorado como um hífen
Bitch estás com TPM
Então toma Trifene
Soltas a pressão como uma Pepsi can
Pergunto se queres foder, dizes ""yes, we can""
Eu tou à beira-mar a ver passar navios
Quero-te cair entre as pernas como a ponte Entre-os-Rios
Lá vai um autocarro cheio de espermatozóides
Não compres um tablet se é para ler tablóides
Mas, eu nem me importo muito que sejas oca
Temos algo em comum, fazemos truques com a boca
A diferença entre mim e o teu boy é brutal
É que enquanto ele te bate coro, eu bato com o cabedal
Não gostas, fazes move, eu só oiço mu
Vaca, espeto-te um osso no cu, gemes como o Chewbacca
Gosto de putas retro por isso é que te pus laca
E tu gostas de tugas como se fosses polaca
E agora tu queres comandar
Fuck you, puta, põe a bunda a andar
Senão eu atiro-te do 2º andar
E depois fico a cantar como o Bubacar
 Da Chick:
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Me and Mike went out tonight
To get our groove on, right
We got in the club where we usually go
We takes the drinks and diss some people
But damn this night
I'm already smelling something from the inside
I open the door I can't believe what I, saw
Saw, saw, saw, saw, saw, saw, só badalhocas
 Mike El Nite:
No dance floor, dance whore
Tu tens ar de quem chupa melhor do que um Dementor
O teu decote faz-me querer dar shot num quarto de hotel
Para fodermos até vermos o carrossel
Ou então tex mex no meu quarto up next
I love making love but prefer rough sex
Up that ass, eu tou up to the test
Nem venhas com o desfine do ""hoje não me apetece""
Tu és tão fine, temos wine e hash
E eu aperto-te esse rabo como uma bola anti-stress
Não conheço esta miúda, nem ela me conhece
Mas diz que dorme com quem quer e que faz o que lhe apetece, what a mess
Este club da porcaria
Putaria desde a portaria
Claro que esta festa é pouco duradoura
Visto a maior badalhoca ser a produtora
 Da Chick:
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Only bitches in this party, getting naughty, getting naughty
Girls don't show your pearls
Don't you show your pearls like that to boys 
Mike El Nite:
Só, só, só, só, só
Só badalhocas",2016-01-01,https://genius.com/Mike-el-nite-so-badalhocas-lyrics
3,Mike El Nite,Horizontes,O Justiceiro,"Uma obra que depressa viria a ser reconhecida como um dos pontos mais altos atingidos pela poesia portuguesa
Eis aqui quase cume da cabeça da Europa toda o rei do lusitano onde a terra se acaba e o mar começa

Horizontes, horizontes
Alarguei os meus quando ouvi contos
Sobre exploradores inventores e pontes
Que ligaram mais que cardeais e pontos
Eu queria beber mais e fontes?
O meu professor disse-me ""ouve e prontos""
Como assim ouve e prontos?
Vou crescer e aprender a ter que ouvir tontos?
Cedo soube saber mais que esses cepos
Borregos que só geram mais casas com segredos
Preferem compactuar com degredos
Ate lá o largo se tornar o lar dos labregos man
Conhecimento e reconhecimento
Armas contra o sim ao desinvestimento
Por isso eu selo o meu com o meu cunho e cimento
Dissidente enquanto houver Punho e invento
Ya, sou inventor
Levanto de novo de novo o esplendor
Da memória e todo o seu valor
Tudo é história, o resto é vapor, aaahhh
Sente o ardor de ser o dador e o lutador
Num mundo de dor e de pavor
Onde todo o amor é por favor, por favor
Não sou nacionalista, mas nasci na lista
Dos que tem que pagar para que o que o ar exista
Se eu preciso respirar ponho o ar no artista
Enquanto flasho o meu narso a um narcisista
Porque ele quer que eu me esconda numa onda sem crista
Mas eu vou explorar enquanto houver mar à vista
Como os exploradores sobre os quais ouvi contos
Que ajudaram a alargar os meus horizontes

Horizontes, Horizontes, Horizontes, Horizontes
Eles querem tapar os teus
Eles querem tapar os teus
Eles querem tapar os teus
Eles querem tapar os teus

Eles querem tapar os teus
Horizontes
Manda-os para o caralho man, não deixes
Faz o teu trabalho bem e não te queixes
Abre a janela da goela man, não te feches
Sê velas em caravelas, eles são peixes
Pesca muito. Não te desleixes
Porque quando estás na merda, eles atiram pedras mas se um dia fores alguém eles falam bem até te dão beijos
Man, eu sei que eles são fakes
Acredita em mim eu sei que eles são snakes
Mas tens que ser sólido como um metal para poderes trazer mudança e seres aceite
Separa a água do azeite
Porque quem canta de galo está por um fio
Sorrisos amarelos ainda são de leite
Nenhum ficou quando a cortina caiu
Fim do acto da peça de um teatro
Quanto muito existe um Viris, nunca houve um Viriato
Desde que sou um ser vivo sinto que vivi inato
Questionei tudo o que vi e ouvi na vida e Viro ingrato?
Muito obrigado, nah muito obrigado
Por me terem ensinado que não posso ser formatado tipo:
""Estás orientado se não fores dos que destoa
Por isso caga na mensagem, o Fernando já não é pessoa""
Man na minha mente ecoa a frase:
""Fui feito para feitos grandes""
Mas sinceramente já gastei tantos
Matei gangs
Sem guns
Descobri mentes em Descobrimentos que podia ter Feito antes
Tanta coisa para falhar na hora H
Tipo estava mesmo mesmo quase la só que aaaahhh
Não é com o quase que vais CRIAR ORPHEUS por isso enquanto os vires ao longe man alarga os teus
Horizontes",2016-04-22,https://genius.com/Mike-el-nite-horizontes-lyrics
4,Mike El Nite,T.U.G.A.,O Justiceiro,"Hey, vive a vida como uma festa
Sob o vento da floresta
Adoro raves, o que é que aconteceu, eu
Acho que foi a lição que a televisão me deu, meu
A bunny dava-me mini tusa
Viciou-me em honeys de mini saia e mini blusa
Fiquei todo mascarado com esta kizzie lusa e pensei:
Droga é fixe ate pró chibo porque ele chiba e usa ya
Todos os meus dogs tão em modo gato Luna
Quanto mais os teus olhos veem, mais eles consomem
Alguma coisa que os comprometa? Nah, nenhuma
Já foi tudo prá a piscina tipo Ai os Homens
Todos correm, para o Passatempo nacional
Jogos sem maneiras sem fronteira passio-racional
Os melhores atletas a representar Portugal
Corredores do fundo do tacho que cozinha o cristal
Pega nos cavalos, vamos para o bosque mágico
Eu mais uns chavalos, sacos e copos de plástico
Recheados com pedras, paus e maus hábitos
Como é que ninguém trouxe limão? Isto é tão ácido
Saímos da estrada para a terra batida rápido
Vamos ficar bem mais felizes e menos sábios
E se tudo correr bem ninguém vai ter momentos trágicos
Afastei os arbustos chegamos entrei no mato e ouvi

Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos
Alucinações

Desde que haja festa rija e gás na botija e áudio nos speakers
É cedo para ir p'ra casa, o tempo não passa as passas nos picas
Vão marcando o compasso entre abraços e várias dicas
Que nunca em nenhum lado sem tares drogado são repetidas
É um festim sem comida
Aqui só há refeições
Que te gastam barra de vida
E vão mudar-te as feições
Isto é
Energia em bebida, feita em farinha ou então feijões
Sem magia, só física e química em fusões
Confusões
Surgem quando pões
Ar em combustões
Contusões
Pós apreensões
Sopros em balões
Multidões
Contra proteções
Escudos e bastões
Colisões
Transformam em beef manifestações
Emissões
Transmitem visões
Tiram-te ambições
Aviões matam aldeões
A cumprir missões
Gerações de peões fáceis de gerir Se pões
Minions contra minions
Ficam os vilões
Alguém que se levante e diga algo mas com o som tão alto Ninguém vai ouvir
Tá Tudo a curtir
Percussão a repetir não se vão repercutir
Quaisquer medidas que alterem vidas p'ra mais produtivas ou mais propícias a agir
Fica pelo teaser, man, Follow the leader o people quer rir
O people quer rir
O people que ir, exoricizar os demónios e pôr os neurónios mais off e os leucócitos a sacudir
Caga nos próximos por acudir
Eles ficam ótimos, segura o vómito, 'bora fingir
Tá-se bem isto é sempre subir
Tá a bater, eu já sei abster-me e abstrair
Só não sei distinguir

Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos, aplausos
Tambores, uivos, gritos
Alucinações",2016-04-22,https://genius.com/Mike-el-nite-tuga-lyrics
5,Mike El Nite,Santa Maria,O Justiceiro,,2016-04-22,https://genius.com/Mike-el-nite-santa-maria-lyrics
6,Mike El Nite,2P,O Justiceiro,,2016-04-22,https://genius.com/Mike-el-nite-2p-lyrics
7,Mike El Nite,Carmen,Inter-Missão,"Chamava-se Carmencita
A cigana mais bonita do que um sonho uma visão
Diziam que era a cigana
Mais linda da caravana mas não tinha coração
Diziam que era a cigana
Mais linda da caravana mas não tinha coração
Os afagos e carinhos
Perdeu-os pelos caminhos
Sem nunca os ter conhecido
E andou buscando aventuras
Como quem anda à procura de um grão de areia perdido
E andou buscando aventuras
Como quem anda à procura de um grão de areia perdido
Yeah, yeah, yeah, yeah, yeah, yeah
Oh, oh, oh, oh, uah, yeah, yeah, yeah, yeah
Oh oh oh oh uah, yeah

God damn, Carmen
Vais fazer um ateu dizer ámen
Perguntam-me estás bem, eu claro man
Mas eles não sabem como um gajo treme, nah
God damn, Carmen
Vais fazer um ateu dizer ámen
Perguntam-me estás bem, eu claro man
Mas eles não sabem como um gajo treme, nah

E que um gajo treme e não é pouco
Porque o teu conforto é o desconforto doutro
Desde que te foste eu estou em ponto morto
'Tou torto eu sou eu mas noutro corpo
Para ser mais tipo um freaky gipsy estou a ouvir Tipsy
Tingy winky off that LaLa longe da popa
Feeling tipsy thinking deep shit, hmmm
Eu juro que às vezes está bom mas já sei que vou
Dar de caras contigo mas como amiga e dar-te cartas mas de Tarot Yeah
E depois mudo o meu destino
Qual será alguém quer fazer apostas
Quem me dera poder largar tudo e fugir
Mas carrego sempre a minha casa às costas
E vou andando sem ter um sitio para onde ir
Sou um saltibanco alto e branco, calvo e manco, talibã, bum Rebentei
Feito em cacos vejo pedaços de nós em beijos e abraços que nunca dei
E então varre agarra e apanha
E o que largo vai ficando com guito no Vaticano
Ah cigana mesmo à cigano
Se era p'ra levares tudo toma já
Fico só com a apatia que este coma dá
No outro dia conheci a Sofia e parecia porreira
Mas 'tou na azia porque ela vive a vida como uma feira
A festa é momentânea, e só espontânea
Se ficar fricção cutânea por acontecer
Eu procuro a estefânia mas só encontro a bezana
E a sensação que nada é funny e é melhor morrer
É melhor correr, esta terra já deu o que tinha a dar
Quando alguém me vê, vêm-me denunciar
E onde quer que esteja tenho de negociar
Será que um dia vou encontrar um lugar onde possa repousar
Para pousar todos os meus quadros e apontamentos
Em vez de andar ai a girar por girar, montar, desmontar, transformar quartos em acampamentos
Hã? ´Tou farto de ser um nómada parece que a norma da vida nova é ser
Menos cómodo, e mais autónomo enquanto eu ando a monte amontoando a moca lívida de  nunca ter a dívida paga
A música toca os corpos vibram na madrugada mas no fim ninguém nos chama quando a chama se apaga
Só fica o cheiro da fogueira ateada e mais nada

Como esta canção magoada
Se envolve no pó da estrada
Quando passa a caravana
Carmencita, Carmencita
Se não fosses tão bonita
Serias sempre cigana
Carmencita, Carmencita
Se não fosses tão bonita
Serias sempre cigana",2018-12-07,https://genius.com/Mike-el-nite-carmen-lyrics
8,Mike El Nite,Funeral,---,"É, foi um... foi um bom ano. (Verdade)
Mas isso não chega. (Nope)
A vida não presta

Faço os cálculos. Notas em rolo como um parolo
Desapareço. Hocos Pocus nalguns palcos
Regra geral, depois do concerto estou esgotado
Como a lotação do mesmo ou qualquer um dos meus álbuns
Facto. É, um ignorante de culto (Uau)
O anão fez um beat gigante. Curto, mas
Vou precisar de um som de fundo
De, sei lá, uma gaivota-cadáver a grasnar enquanto cuspo. (Vai)
(Hey) Impecável
Se espumar no chão, aumenta o sub e fico estável
Vampiresco
Corcunda, na capela
Com sangue humano na paleta, a pintar um fresco
Tema? Vida miserável
Cada vez que saio à rua
Salto e abro asas em contraluz com a lua, para anunciar a caçada
Admito, só quero
Escolher a próxima vítima no reflexo da janela do metro, como o Henrique Sotero. (Google)
É a nata da Zona T e o Senhor Mistério
Reúne a pequenada que na sombra crê
Qualquer criança com força para segurar uma espada
Está apta para combater
Filhote, Satanás na terra
Tás na berra porque a editora paga para som bater
Muita fala, mas estou para ver
Contas? Vamos conversar
Concertos? Últimos dois, tombaram três fãs, um deles antes de eu começar
Quê? Eu faço os cálculos

Tudo vestido de preto porque a vida é um funeral
Mais longo que o habitual
Ou mais curto que o habitual
Decrépito
Inédito como ilhas Caimão com regras
É o cara de um cigarro e o teu puto caixão com pernas
Tudo vestido de preto porque a vida é um funeral
Mais longo que o habitual
Ou mais curto que o habitual
Decrépito
Inédito como ilhas Caimão com regras
É o cara de um cigarro e o teu puto caixão com pernas

(És Rapper, DJ, boa pessoa, má pessoa)
Vida dupla?
Deve ser a minha e deve ser minha culpa
Vou daqui a acapulco e catapulto a puta
Pela rua a cantar cenas estranhas como Oompa loompa
Charlie bit me tango down mas as entranhas Upa upa!
666 é o numero da besta
Só que o numero de bestas aqui faz de nós reis
E se isto é um jogo de tronos, pra mim é um jogo de tiro aos monos
Por isso mata a xuxuta depois chuta que eu deixo
Vá, Faz lá o Teu festejo
Vá, Adeus e um queijo depois une-te a outros meios
Só são precisos dois inteiros neste cortejo fúnebre
(É para ti) Podes ficar no armário mas assume-te
Depois some-te como um empreendedor no fim do Web Summit(e)
Isto é:
Essencial como frutinha espremida
Só se junta gin nesta bebida, o resto é liga orangina
Para igualares este néctar precisavas dum hectare de rimas
E continuavas óbvio micróbio com enzimas em cima
(Ya, porque agora andamos aí na boca do povo e tal só que)
Isto é distinto tipo: tem um distintivozito
E diz não compares isto ao teu rapper favorito
Dizem que fumar nites acalma os nervos - Nem por isso
Junta o inútil ao desagradável - Vai ser bonito
Duas mentes independentes independentemente
De dependermos disto como carochitos de um pente
Cá a frente o ambiente tá quente como ar
Vais levitar e ver que tás a falhar como dentes no intendente
Entendeste?",2017-01-13,https://genius.com/Mike-el-nite-funeral-lyrics
9,Mike El Nite,Água Fria,O Justiceiro,,2016-04-22,https://genius.com/Mike-el-nite-agua-fria-lyrics
